report_date,mfd_7daily_yield,total_redeem_amt,total_purchase_amt
2013/7/1,6.307,5525022,32488348
2013/7/2,6.174,2554548,29037390
2013/7/3,6.034,5953867,27270770
2013/7/4,5.903,6410729,18321185
2013/7/5,5.739,2763587,11648749
2013/7/6,5.582,1616635,36751272
2013/7/7,5.425,3982735,8962232
2013/7/8,5.279,8347729,57258266
2013/7/9,5.15,3473059,26798941
2013/7/10,5.047,2597169,30696506
2013/7/11,4.959,3508800,44075197
2013/7/12,4.884,8492573,34183904
2013/7/13,4.815,3482829,15164717
2013/7/14,4.745,2784107,22615303
2013/7/15,4.682,13107943,48128555
2013/7/16,4.634,11864981,50622847
2013/7/17,4.582,10911513,29015682
2013/7/18,4.543,11765356,24234505
2013/7/19,4.518,9244769,33680124
2013/7/20,4.494,4601143,20439079
2013/7/21,4.471,2681331,21142394
2013/7/22,4.447,19144267,40448896
2013/7/23,4.426,24404051,58136147
2013/7/24,4.424,36258592,48422518
2013/7/25,4.411,38212836,57433418
2013/7/26,4.397,39192369,44721817
2013/7/27,4.384,15058893,17194451
2013/7/28,4.371,7683211,36255382
2013/7/29,4.369,18599364,53512076
2013/7/30,4.377,13048582,47481243
2013/7/31,4.392,9534040,54569637
2013/8/1,4.413,18864468,53369962
2013/8/2,4.437,40150769,38064536
2013/8/3,4.46,20701797,21595789
2013/8/4,4.483,8263965,45745254
2013/8/5,4.503,15797507,43632203
2013/8/6,4.507,16401387,50866184
2013/8/7,4.509,29708706,43908081
2013/8/8,4.516,29551691,44493490
2013/8/9,4.513,30131015,33425186
2013/8/10,4.512,26614408,20615307
2013/8/11,4.511,15372680,55519543
2013/8/12,4.511,28586669,94520502
2013/8/13,4.517,28790328,48720919
2013/8/14,4.521,15031683,30541167
2013/8/15,4.523,52659327,42421222
2013/8/16,4.524,33739844,41683536
2013/8/17,4.525,4674983,17670519
2013/8/18,4.526,15218300,59703092
2013/8/19,4.532,28339260,109184209
2013/8/20,4.54,30131225,53675509
2013/8/21,4.545,29983342,38184446
2013/8/22,4.546,25000672,89130737
2013/8/23,4.548,25680323,37878575
2013/8/24,4.551,14316598,44367268
2013/8/25,4.554,18117808,43306288
2013/8/26,4.546,20637986,74496541
2013/8/27,4.538,60137633,45268028
2013/8/28,4.528,33696861,46602319
2013/8/29,4.583,35944968,47518666
2013/8/30,4.686,20630752,56488844
2013/8/31,4.685,22012016,47655303
2013/9/1,4.685,59339949,56239802
2013/9/2,4.829,17785524,140844739
2013/9/3,4.84,39328144,80507880
2013/9/4,4.852,27452600,33366708
2013/9/5,4.807,21800904,38716505
2013/9/6,4.859,33417903,38923186
2013/9/7,4.87,20344424,34076183
2013/9/8,4.88,14919122,38796909
2013/9/9,4.876,45621186,49312473
2013/9/10,4.979,37128363,94684143
2013/9/11,4.989,71674082,98944459
2013/9/12,5.001,45147220,68573684
2013/9/13,4.932,60512675,71655946
2013/9/14,4.943,36312660,30975443
2013/9/15,4.956,25020715,37059683
2013/9/16,4.942,45184589,161656210
2013/9/17,4.848,58260798,76204815
2013/9/18,4.894,47203221,42926608
2013/9/19,4.893,11418512,24778048
2013/9/20,4.827,15188254,28365762
2013/9/21,4.825,26596179,32406340
2013/9/22,4.822,47962055,67514169
2013/9/23,4.724,58285879,54658160
2013/9/24,4.767,56680792,74250859
2013/9/25,4.796,74838162,47274168
2013/9/26,4.897,48467529,68718693
2013/9/27,4.963,27639603,42166121
2013/9/28,4.994,58105720,39995798
2013/9/29,5.026,40295202,34433848
2013/9/30,5.07,30181353,28398050
2013/10/1,5.065,12813267,19137499
2013/10/2,5.026,7233874,11562708
2013/10/3,4.956,6223263,10101194
2013/10/4,4.922,23412350,19907689
2013/10/5,4.924,13966453,26364686
2013/10/6,4.922,13464528,38730653
2013/10/7,4.919,28894400,42797733
2013/10/8,5.006,77856096,109806912
2013/10/9,4.992,33999376,72422299
2013/10/10,4.987,52244531,72094613
2013/10/11,4.985,27666473,82674757
2013/10/12,4.98,31322983,81901136
2013/10/13,4.978,31850475,71149981
2013/10/14,4.96,40652625,130315300
2013/10/15,4.889,35099198,85704304
2013/10/16,4.899,51261982,100948091
2013/10/17,4.889,23274764,87203217
2013/10/18,4.878,15938355,98151450
2013/10/19,4.866,26684697,53148443
2013/10/20,4.854,50884342,47766681
2013/10/21,4.888,45781403,106030290
2013/10/22,4.846,96172537,145611496
2013/10/23,4.825,73788462,106093112
2013/10/24,4.819,58183921,69530830
2013/10/25,4.811,52225802,69936453
2013/10/26,4.804,49357211,55752506
2013/10/27,4.797,46520570,68007543
2013/10/28,4.743,55089464,129993375
2013/10/29,4.754,43052468,102050144
2013/10/30,4.763,63908701,109663260
2013/10/31,4.772,55607833,90926701
2013/11/1,4.781,66933119,150904945
2013/11/2,4.79,26705506,62132300
2013/11/3,4.8,30895754,68707870
2013/11/4,4.825,130970051,300027403
2013/11/5,4.828,82689864,180904814
2013/11/6,4.829,131707820,181474910
2013/11/7,4.827,83306452,167963464
2013/11/8,4.827,92856307,231749471
2013/11/9,4.826,45885771,126467028
2013/11/10,4.825,85293644,164813471
2013/11/11,4.938,227124951,147986439
2013/11/12,5.028,131263524,148469647
2013/11/13,5.093,79121440,174554976
2013/11/14,5.112,52554150,167996058
2013/11/15,5.212,58210254,124270704
2013/11/16,5.224,28996272,118085705
2013/11/17,5.235,42358155,111786622
2013/11/18,5.139,136916782,195766477
2013/11/19,5.073,70308235,131365419
2013/11/20,5.033,86951218,166163002
2013/11/21,5.041,74733962,221166938
2013/11/22,4.973,82717921,128528687
2013/11/23,4.993,48882131,89109018
2013/11/24,5.013,85555947,102394991
2013/11/25,5.035,70113127,147143602
2013/11/26,5.057,65802983,258037702
2013/11/27,5.079,86129498,134774128
2013/11/28,5.102,61453591,139760425
2013/11/29,5.123,123982166,122536344
2013/11/30,5.145,119660311,116865492
2013/12/1,5.168,94632233,137889992
2013/12/2,5.182,128465086,345313258
2013/12/3,5.194,101662045,268666856
2013/12/4,5.207,69981329,219456372
2013/12/5,5.216,118256819,190825287
2013/12/6,5.214,82625571,152197159
2013/12/7,5.211,71916047,138882605
2013/12/8,5.207,76314292,124886903
2013/12/9,5.226,133355299,174652812
2013/12/10,5.241,147147341,179471612
2013/12/11,5.253,110314592,239916977
2013/12/12,5.288,92090275,140360007
2013/12/13,5.325,90778214,164672690
2013/12/14,5.363,52234651,129045596
2013/12/15,5.4,54757146,205882387
2013/12/16,5.43,156157326,196489931
2013/12/17,5.444,116537843,193980797
2013/12/18,5.463,202220872,180215804
2013/12/19,5.491,164023344,233631357
2013/12/20,5.524,153678963,133867400
2013/12/21,5.558,83151594,112000779
2013/12/22,5.592,83998249,154543217
2013/12/23,5.67,138478245,198747367
2013/12/24,5.757,118607911,305406334
2013/12/25,5.893,172755480,380076148
2013/12/26,6.032,241852564,220287409
2013/12/27,6.192,163522548,211118967
2013/12/28,6.346,61383220,192808006
2013/12/29,6.5,55129989,161473347
2013/12/30,6.598,179826624,286358778
2013/12/31,6.696,134232530,265851934
2014/1/1,6.74,77367755,330926565
2014/1/2,6.763,190155450,434956739
2014/1/3,6.753,127714255,342074805
2014/1/4,6.745,99869074,186085910
2014/1/5,6.738,156781996,206030707
2014/1/6,6.726,190917629,442494042
2014/1/7,6.738,137972793,589726496
2014/1/8,6.761,213880074,264025160
2014/1/9,6.737,140391237,280698487
2014/1/10,6.738,117259153,237797636
2014/1/11,6.721,71530182,243403438
2014/1/12,6.703,141505812,228255344
2014/1/13,6.695,178923772,447207050
2014/1/14,6.67,159778389,356907128
2014/1/15,6.618,177618247,391408718
2014/1/16,6.595,153167426,374947083
2014/1/17,6.554,127385210,345426853
2014/1/18,6.517,142869842,233200688
2014/1/19,6.48,117629351,185082022
2014/1/20,6.46,442996084,335761027
2014/1/21,6.423,302825136,412854611
2014/1/22,6.398,292856188,498730606
2014/1/23,6.413,209024328,481450097
2014/1/24,6.422,345829001,614103894
2014/1/25,6.424,185524856,440854623
2014/1/26,6.434,331752519,528402520
2014/1/27,6.416,280645861,657199484
2014/1/28,6.441,248334316,843424742
2014/1/29,6.432,215164666,952479658
2014/1/30,6.36,105288105,227916211
2014/1/31,6.293,48132389,87324175
2014/2/1,6.253,61527060,64287172
2014/2/2,6.205,24395720,57912761
2014/2/3,6.158,46109194,84329848
2014/2/4,6.085,44927333,83653646
2014/2/5,6.051,95407704,209043990
2014/2/6,6.044,111635336,227860276
2014/2/7,6.096,273482213,578818221
2014/2/8,6.135,183432237,358255468
2014/2/9,6.174,262954049,341911234
2014/2/10,6.225,431753411,647465140
2014/2/11,6.263,243058162,818803205
2014/2/12,6.298,354585919,763009770
2014/2/13,6.334,362757986,626698794
2014/2/14,6.311,263261899,490710434
2014/2/15,6.298,121463693,255393179
2014/2/16,6.286,183057224,331324628
2014/2/17,6.259,405809267,706118060
2014/2/18,6.241,271125324,593563145
2014/2/19,6.22,323990451,408367966
2014/2/20,6.201,230855410,478925191
2014/2/21,6.183,178914448,353981687
2014/2/22,6.165,134735118,282022706
2014/2/23,6.147,195214052,337053711
2014/2/24,6.136,473470156,656317045
2014/2/25,6.114,299155352,563505889
2014/2/26,6.093,284819682,680801145
2014/2/27,6.062,492786036,672909288
2014/2/28,6.031,322030204,428721754
2014/3/1,6.001,211279011,362865580
2014/3/2,5.971,246199417,276202230
2014/3/3,5.928,513017360,505305862
2014/3/4,5.895,250562978,524146340
2014/3/5,5.864,209072753,454295491
2014/3/6,5.835,243149884,561787770
2014/3/7,5.805,291087220,380139779
2014/3/8,5.774,140323202,243274169
2014/3/9,5.744,206312503,244752519
2014/3/10,5.716,308040624,497338076
2014/3/11,5.69,496039886,430500816
2014/3/12,5.668,416491268,377007897
2014/3/13,5.647,316973542,346286910
2014/3/14,5.628,311575572,315897431
2014/3/15,5.61,242799048,287407002
2014/3/16,5.592,390584547,269387391
2014/3/17,5.568,440624592,339008082
2014/3/18,5.555,410240726,435479117
2014/3/19,5.544,429298917,359014064
2014/3/20,5.538,336076380,365011495
2014/3/21,5.535,259655286,282351818
2014/3/22,5.526,138039412,191700135
2014/3/23,5.516,186443311,167456369
2014/3/24,5.511,437825259,313180334
2014/3/25,5.496,312710515,314345006
2014/3/26,5.472,450254233,272935544
2014/3/27,5.445,359071642,266231082
2014/3/28,5.415,405443946,225966355
2014/3/29,5.395,155006056,160250985
2014/3/30,5.374,264714811,205533934
2014/3/31,5.361,423852634,398884905
2014/4/1,5.356,277429358,453320585
2014/4/2,5.357,272612066,355347118
2014/4/3,5.362,266605457,363877120
2014/4/4,5.367,200192637,251895894
2014/4/5,5.37,163199682,202336542
2014/4/6,5.373,139576683,129477254
2014/4/7,5.373,176966561,196936223
2014/4/8,5.368,250015131,354770149
2014/4/9,5.36,289330278,383347565
2014/4/10,5.351,286914864,386567460
2014/4/11,5.339,277077434,237829882
2014/4/12,5.327,123295320,177642053
2014/4/13,5.315,178934722,208172985
2014/4/14,5.3,415986984,309853269
2014/4/15,5.287,285293076,428681231
2014/4/16,5.272,255914640,387847838
2014/4/17,5.253,265341592,355792647
2014/4/18,5.239,225952909,239300383
2014/4/19,5.224,146374940,268729366
2014/4/20,5.21,161057781,191259529
2014/4/21,5.2,295635256,301134667
2014/4/22,5.188,268810141,285248757
2014/4/23,5.171,278470936,313677307
2014/4/24,5.152,224536754,318358891
2014/4/25,5.13,227764292,220927432
2014/4/26,5.109,158122962,151625415
2014/4/27,5.087,191915377,146837951
2014/4/28,5.067,327724735,324937272
2014/4/29,5.048,307578349,330607104
2014/4/30,5.04,281835975,260091330
2014/5/1,5.032,143362755,193045106
2014/5/2,5.028,121222064,125336258
2014/5/3,5.023,199568043,185094488
2014/5/4,5.029,413222034,303087562
2014/5/5,5.022,309330781,370924149
2014/5/6,5.042,341108696,318002728
2014/5/7,5.036,239372999,417327518
2014/5/8,5.028,273187499,392838756
2014/5/9,5.022,247743971,281479009
2014/5/10,5.008,147248328,287240171
2014/5/11,4.985,152945581,182424063
2014/5/12,4.969,293952908,325108597
2014/5/13,4.924,257918375,275241493
2014/5/14,4.902,316225442,305474522
2014/5/15,4.888,238307643,313367089
2014/5/16,4.874,282094916,231967423
2014/5/17,4.858,145854372,170983868
2014/5/18,4.842,153440019,164419642
2014/5/19,4.853,293791406,259077930
2014/5/20,4.868,260040720,453955303
2014/5/21,4.882,250223726,297799722
2014/5/22,4.877,251108485,344636549
2014/5/23,4.867,229000787,249546195
2014/5/24,4.849,154409868,160073254
2014/5/25,4.831,231004758,166943526
2014/5/26,4.788,274707572,344890868
2014/5/27,4.746,321965845,299049555
2014/5/28,4.712,415891684,276134813
2014/5/29,4.684,313827800,320549863
2014/5/30,4.683,312802179,226547701
2014/5/31,4.677,142862063,146823669
2014/6/1,4.67,149829253,183489775
2014/6/2,4.66,170409506,158219402
2014/6/3,4.656,385622582,270887462
2014/6/4,4.657,303978838,274460744
2014/6/5,4.681,355645445,380042567
2014/6/6,4.664,274862067,301413900
2014/6/7,4.669,146203577,187801995
2014/6/8,4.675,169525332,302171269
2014/6/9,4.698,287520152,366114374
2014/6/10,4.706,298190025,354031597
2014/6/11,4.712,246127540,327661453
2014/6/12,4.702,236467885,332365185
2014/6/13,4.719,386799040,216923770
2014/6/14,4.73,229916191,181574530
2014/6/15,4.742,116623756,166080126
2014/6/16,4.734,492349489,387308484
2014/6/17,4.724,502560223,270350693
2014/6/18,4.697,421920230,335262709
2014/6/19,4.66,284956260,338609087
2014/6/20,4.634,286583065,251582530
2014/6/21,4.585,231003775,177999186
2014/6/22,4.535,361285652,147180819
2014/6/23,4.494,373779624,232227670
2014/6/24,4.463,428471509,245450766
2014/6/25,4.416,547295931,264663201
2014/6/26,4.375,418742109,297628039
2014/6/27,4.324,399444352,264282703
2014/6/28,4.296,283400236,153826161
2014/6/29,4.267,261170799,158801540
2014/6/30,4.235,456547794,334054112
2014/7/1,4.221,374164541,384428753
2014/7/2,4.221,328950951,384555819
2014/7/3,4.23,289009780,297894643
2014/7/4,4.22,264494550,211649838
2014/7/5,4.218,272535138,169383796
2014/7/6,4.216,195530758,199569025
2014/7/7,4.215,317612569,272182847
2014/7/8,4.191,340453063,224240103
2014/7/9,4.18,269642881,278005555
2014/7/10,4.178,326009240,283095921
2014/7/11,4.177,240050748,208671021
2014/7/12,4.173,149081488,177644343
2014/7/13,4.169,199459990,179759885
2014/7/14,4.172,284753279,254797524
2014/7/15,4.181,261722182,334810012
2014/7/16,4.192,234775948,394890140
2014/7/17,4.183,298279385,253011280
2014/7/18,4.184,208671287,208959595
2014/7/19,4.184,155464283,210318023
2014/7/20,4.184,174462836,176449304
2014/7/21,4.192,434191479,378088594
2014/7/22,4.182,369043423,243084133
2014/7/23,4.176,308353077,265461894
2014/7/24,4.181,347622431,277044480
2014/7/25,4.182,262874791,181641088
2014/7/26,4.187,282653341,128268053
2014/7/27,4.192,166610652,151406251
2014/7/28,4.184,345986909,371762756
2014/7/29,4.183,303480103,228093046
2014/7/30,4.178,250117716,209917272
2014/7/31,4.174,277194379,191728916
2014/8/1,4.171,252540858,374884735
2014/8/2,4.168,172250225,189092130
2014/8/3,4.166,127125217,173825397
2014/8/4,4.176,322907524,330640884
2014/8/5,4.178,221706539,394780870
2014/8/6,4.178,282346594,288821016
2014/8/7,4.18,253659514,247646474
2014/8/8,4.192,311648757,233903717
2014/8/9,4.191,163611708,160262764
2014/8/10,4.191,189909225,259534870
2014/8/11,4.179,418603336,331550471
2014/8/12,4.176,309754858,258493673
2014/8/13,4.175,303975517,261506619
2014/8/14,4.185,211939431,257702660
2014/8/15,4.17,236516007,244551620
2014/8/16,4.168,219214339,215059736
2014/8/17,4.165,139564084,149978271
2014/8/18,4.159,259169016,298499146
2014/8/19,4.163,254929877,266401973
2014/8/20,4.169,202452782,308378692
2014/8/21,4.158,219963356,251763517
2014/8/22,4.153,179349206,246316056
2014/8/23,4.146,199377531,141412027
2014/8/24,4.139,191080151,130195484
2014/8/25,4.139,312413411,309574223
2014/8/26,4.131,285478563,306945089
2014/8/27,4.123,468164147,302194801
2014/8/28,4.116,297893861,245082751
2014/8/29,4.123,273756380,267554713
2014/8/30,4.134,196374134,199708772
2014/8/31,4.146,292943033,275090213
