report_date,user_amount
2013-07-01,82
2013-07-02,86
2013-07-03,86
2013-07-04,100
2013-07-05,103
2013-07-06,108
2013-07-07,105
2013-07-08,107
2013-07-09,124
2013-07-10,124
2013-07-11,131
2013-07-12,134
2013-07-13,141
2013-07-14,139
2013-07-15,147
2013-07-16,151
2013-07-17,155
2013-07-18,157
2013-07-19,160
2013-07-20,162
2013-07-21,165
2013-07-22,167
2013-07-23,174
2013-07-24,179
2013-07-25,183
2013-07-26,185
2013-07-27,181
2013-07-28,184
2013-07-29,187
2013-07-30,190
2013-07-31,195
2013-08-01,198
2013-08-02,200
2013-08-03,200
2013-08-04,201
2013-08-05,205
2013-08-06,207
2013-08-07,212
2013-08-08,213
2013-08-09,215
2013-08-10,216
2013-08-11,219
2013-08-12,225
2013-08-13,225
2013-08-14,225
2013-08-15,226
2013-08-16,227
2013-08-17,226
2013-08-18,230
2013-08-19,233
2013-08-20,235
2013-08-21,236
2013-08-22,241
2013-08-23,245
2013-08-24,243
2013-08-25,244
2013-08-26,250
2013-08-27,256
2013-08-28,259
2013-08-29,256
2013-08-30,261
2013-08-31,262
2013-09-01,266
2013-09-02,271
2013-09-03,272
2013-09-04,275
2013-09-05,276
2013-09-06,278
2013-09-07,279
2013-09-08,285
2013-09-09,285
2013-09-10,287
2013-09-11,290
2013-09-12,294
2013-09-13,294
2013-09-14,295
2013-09-15,298
2013-09-16,301
2013-09-17,302
2013-09-18,299
2013-09-19,298
2013-09-20,296
2013-09-21,297
2013-09-22,300
2013-09-23,300
2013-09-24,303
2013-09-25,304
2013-09-26,308
2013-09-27,305
2013-09-28,310
2013-09-29,314
2013-09-30,317
2013-10-01,317
2013-10-02,318
2013-10-03,320
2013-10-04,324
2013-10-05,323
2013-10-06,328
2013-10-07,327
2013-10-08,334
2013-10-09,336
2013-10-10,341
2013-10-11,343
2013-10-12,343
2013-10-13,348
2013-10-14,352
2013-10-15,358
2013-10-16,364
2013-10-17,373
2013-10-18,376
2013-10-19,383
2013-10-20,387
2013-10-21,386
2013-10-22,399
2013-10-23,400
2013-10-24,405
2013-10-25,413
2013-10-26,414
2013-10-27,411
2013-10-28,424
2013-10-29,424
2013-10-30,428
2013-10-31,436
2013-11-01,442
2013-11-02,447
2013-11-03,450
2013-11-04,461
2013-11-05,481
2013-11-06,495
2013-11-07,499
2013-11-08,512
2013-11-09,519
2013-11-10,542
2013-11-11,533
2013-11-12,529
2013-11-13,537
2013-11-14,538
2013-11-15,548
2013-11-16,558
2013-11-17,561
2013-11-18,575
2013-11-19,578
2013-11-20,583
2013-11-21,587
2013-11-22,593
2013-11-23,595
2013-11-24,598
2013-11-25,609
2013-11-26,612
2013-11-27,617
2013-11-28,616
2013-11-29,616
2013-11-30,619
2013-12-01,628
2013-12-02,638
2013-12-03,648
2013-12-04,650
2013-12-05,659
2013-12-06,661
2013-12-07,659
2013-12-08,662
2013-12-09,669
2013-12-10,673
2013-12-11,684
2013-12-12,690
2013-12-13,690
2013-12-14,691
2013-12-15,699
2013-12-16,707
2013-12-17,709
2013-12-18,717
2013-12-19,721
2013-12-20,721
2013-12-21,719
2013-12-22,723
2013-12-23,729
2013-12-24,729
2013-12-25,738
2013-12-26,742
2013-12-27,747
2013-12-28,753
2013-12-29,756
2013-12-30,765
2013-12-31,771
2014-01-01,772
2014-01-02,782
2014-01-03,786
2014-01-04,791
2014-01-05,797
2014-01-06,800
2014-01-07,805
2014-01-08,810
2014-01-09,817
2014-01-10,819
2014-01-11,829
2014-01-12,839
2014-01-13,850
2014-01-14,853
2014-01-15,863
2014-01-16,869
2014-01-17,869
2014-01-18,875
2014-01-19,875
2014-01-20,885
2014-01-21,886
2014-01-22,887
2014-01-23,894
2014-01-24,901
2014-01-25,907
2014-01-26,918
2014-01-27,917
2014-01-28,935
2014-01-29,942
2014-01-30,943
2014-01-31,947
2014-02-01,947
2014-02-02,944
2014-02-03,945
2014-02-04,953
2014-02-05,952
2014-02-06,955
2014-02-07,969
2014-02-08,976
2014-02-09,986
2014-02-10,1005
2014-02-11,1008
2014-02-12,1017
2014-02-13,1024
2014-02-14,1032
2014-02-15,1031
2014-02-16,1031
2014-02-17,1045
2014-02-18,1047
2014-02-19,1054
2014-02-20,1056
2014-02-21,1059
2014-02-22,1063
2014-02-23,1065
2014-02-24,1081
2014-02-25,1092
2014-02-26,1094
2014-02-27,1103
2014-02-28,1105
2014-03-01,1111
2014-03-02,1114
2014-03-03,1122
2014-03-04,1122
2014-03-05,1129
2014-03-06,1129
2014-03-07,1127
2014-03-08,1128
2014-03-09,1134
2014-03-10,1133
2014-03-11,1139
2014-03-12,1144
2014-03-13,1146
2014-03-14,1146
2014-03-15,1143
2014-03-16,1144
2014-03-17,1142
2014-03-18,1143
2014-03-19,1141
2014-03-20,1143
2014-03-21,1142
2014-03-22,1143
2014-03-23,1142
2014-03-24,1146
2014-03-25,1140
2014-03-26,1142
2014-03-27,1142
2014-03-28,1144
2014-03-29,1150
2014-03-30,1152
2014-03-31,1154
2014-04-01,1157
2014-04-02,1155
2014-04-03,1155
2014-04-04,1154
2014-04-05,1154
2014-04-06,1157
2014-04-07,1158
2014-04-08,1156
2014-04-09,1160
2014-04-10,1162
2014-04-11,1162
2014-04-12,1162
2014-04-13,1166
2014-04-14,1169
2014-04-15,1169
2014-04-16,1168
2014-04-17,1167
2014-04-18,1168
2014-04-19,1169
2014-04-20,1166
2014-04-21,1168
2014-04-22,1169
2014-04-23,1174
2014-04-24,1177
2014-04-25,1178
2014-04-26,1175
2014-04-27,1176
2014-04-28,1176
2014-04-29,1175
2014-04-30,1177
2014-05-01,1179
2014-05-02,1177
2014-05-03,1178
2014-05-04,1181
2014-05-05,1180
2014-05-06,1179
2014-05-07,1181
2014-05-08,1184
2014-05-09,1181
2014-05-10,1178
2014-05-11,1180
2014-05-12,1179
2014-05-13,1179
2014-05-14,1172
2014-05-15,1174
2014-05-16,1173
2014-05-17,1177
2014-05-18,1176
2014-05-19,1176
2014-05-20,1179
2014-05-21,1175
2014-05-22,1179
2014-05-23,1179
2014-05-24,1180
2014-05-25,1178
2014-05-26,1176
2014-05-27,1176
2014-05-28,1178
2014-05-29,1177
2014-05-30,1176
2014-05-31,1174
2014-06-01,1177
2014-06-02,1178
2014-06-03,1174
2014-06-04,1174
2014-06-05,1176
2014-06-06,1176
2014-06-07,1176
2014-06-08,1173
2014-06-09,1175
2014-06-10,1174
2014-06-11,1174
2014-06-12,1178
2014-06-13,1177
2014-06-14,1176
2014-06-15,1177
2014-06-16,1180
2014-06-17,1180
2014-06-18,1180
2014-06-19,1175
2014-06-20,1177
2014-06-21,1176
2014-06-22,1176
2014-06-23,1178
2014-06-24,1177
2014-06-25,1178
2014-06-26,1176
2014-06-27,1174
2014-06-28,1175
2014-06-29,1175
2014-06-30,1175
2014-07-01,1174
2014-07-02,1171
2014-07-03,1168
2014-07-04,1166
2014-07-05,1164
2014-07-06,1166
2014-07-07,1167
2014-07-08,1166
2014-07-09,1164
2014-07-10,1161
2014-07-11,1161
2014-07-12,1156
2014-07-13,1156
2014-07-14,1158
2014-07-15,1161
2014-07-16,1162
2014-07-17,1158
2014-07-18,1157
2014-07-19,1156
2014-07-20,1158
2014-07-21,1157
2014-07-22,1161
2014-07-23,1162
2014-07-24,1161
2014-07-25,1157
2014-07-26,1156
2014-07-27,1157
2014-07-28,1159
2014-07-29,1155
2014-07-30,1156
2014-07-31,1154
2014-08-01,1156
2014-08-02,1155
2014-08-03,1153
2014-08-04,1153
2014-08-05,1157
2014-08-06,1159
2014-08-07,1159
2014-08-08,1157
2014-08-09,1155
2014-08-10,1153
2014-08-11,1151
2014-08-12,1153
2014-08-13,1149
2014-08-14,1147
2014-08-15,1147
2014-08-16,1144
2014-08-17,1146
2014-08-18,1149
2014-08-19,1146
2014-08-20,1145
2014-08-21,1147
2014-08-22,1148
2014-08-23,1148
2014-08-24,1147
2014-08-25,1148
2014-08-26,1149
2014-08-27,1146
2014-08-28,1145
2014-08-29,1144
2014-08-30,1144
2014-08-31,1141
