report_date,weekday,workday,weekend,1st,early,middle,late,mon_or_fri_work,day_after_holiday,holiday,holiday_2,day_after_holiday_2,day_before_holiday_3,holiday_3,day_after_holiday_3,holiday_1st_or_3rd,day_before_or_after_holiday_normal_work,day_before_holiday_2,day_before_holiday_7,sunday_work,total_purchase_amt,total_redeem_amt,workday1,workday2,workday3,workday4,workday5,purchase_pre3,redeem_pre3,residual_log,residual
4/4/2014,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,251895894,200192637,,,,,1,266814771.5,227376308.6,-0.031660674,-820.3444644
4/5/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,202336542,163199682,,,,,,170958134.9,142879228.2,0.115679847,2448.246929
4/6/2014,7,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,129477254,139576683,,,,,,165535837.9,159579440,-0.068762266,-965.9377859
4/7/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,196936223,176966561,1,,,,,177577812.5,173688033.5,-0.384693011,-9074.925943
4/8/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,354770149,250015131,,1,,,,312828805.5,317818856.5,-0.061537177,-1866.683738
4/9/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383347565,289330278,,,1,,,356697528.4,303484918.5,0.155296561,3183.125855
4/10/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386567460,286914864,,,,1,,353994225.5,271589788.6,0.218367507,5279.361185
4/11/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,237829882,277077434,,,,,1,254349369.6,271137749.2,0.124016832,2227.356754
4/12/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,177642053,123295320,,,,,,199922938.5,182207510,-0.365318004,-6866.600813
4/13/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,208172985,178934722,,,,,,194500641.5,198907721.8,0.000246154,-1740.097026
4/14/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,309853269,415986984,1,,,,,343954286.4,354970769.3,0.31334825,10303.5749
4/15/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428681231,285293076,,1,,,,329984833.4,317321154.2,-0.009886343,-869.9915427
4/16/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387847838,255914640,,,1,,,321904523.3,315240281.6,-0.10990941,-3474.307186
4/17/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355792647,265341592,,,,1,,319201220.4,283345151.7,0.049828994,668.8608703
4/18/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,239300383,225952909,,,,,1,254349369.6,271137749.2,-0.001094736,-198.2633646
4/19/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,268729366,146374940,,,,,,199922938.5,182207510,-0.091025162,-1126.106305
4/20/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,191259529,161057781,,,,,,194500641.5,198907721.8,-0.027608259,-815.7933985
4/21/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,301134667,295635256,1,,,,,314015019.8,377515072.6,0.060634099,1187.259706
4/22/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,285248757,268810141,,1,,,,300045566.8,339865457.5,-0.008236483,-406.7660355
4/23/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,313677307,278470936,,,1,,,291965256.7,337784584.9,0.048551909,963.1754206
4/24/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,318358891,224536754,,,,1,,289261953.8,305889455,-0.086207715,-1775.336765
4/25/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,220927432,227764292,,,,,1,224410103,293682052.5,-0.025479554,-599.0667294
4/26/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,151625415,158122962,,,,,,169983671.9,204751813.3,-0.073533301,-1206.659832
4/27/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,146837951,191915377,,,,,,164561374.9,221452025.1,0.098081245,1180.178328
4/28/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,324937272,327724735,1,,,,,314015019.8,377515072.6,0.154101213,3611.058639
4/29/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330607104,307578349,,1,,,,300045566.8,339865457.5,0.208643233,4191.808806
4/30/2014,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,260091330,281835975,,,1,,,269637653.6,305778507.4,0.11892117,1729.844585
5/1/2014,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,193045106,143362755,,,,1,,193045106,143362755,-0.559682143,-11504.46359
5/2/2014,5,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,125336258,121222064,,,,,1,125336258,121222064,-0.655374243,-11998.79204
5/3/2014,6,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,185094488,199568043,,,,,,170958134.9,142879228.2,0.164865705,1624.018487
5/4/2014,7,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,303087562,413222034,,,,,,303087562,413222034,0.895310924,21616.77206
5/5/2014,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,370924149,309330781,1,,,,,370924149,309330781,-0.031107159,-1693.377548
5/6/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318002728,341108696,,1,,,,364777838.5,305565791.1,-0.010031121,556.0562151
5/7/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417327518,239372999,,,1,,,356697528.4,303484918.5,-0.288527954,-7713.597581
5/8/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392838756,273187499,,,,1,,353994225.5,271589788.6,0.094263753,1943.637294
5/9/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,281479009,247743971,,,,,1,289142374.6,259382386.1,0.064104243,1041.430323
5/10/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,287240171,147248328,,,,,,234715943.6,170452146.9,-0.07793468,-577.8567776
5/11/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,182424063,152945581,,,,,,194500641.5,198907721.8,-0.102615565,-1912.537935
5/12/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,325108597,293952908,1,,,,,343954286.4,354970769.3,0.02949012,76.55023217
5/13/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275241493,257918375,,1,,,,329984833.4,317321154.2,-0.096160665,-2780.888771
5/14/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305474522,316225442,,,1,,,321904523.3,315240281.6,0.143830234,3296.823511
5/15/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313367089,238307643,,,,1,,319201220.4,283345151.7,-0.03364947,-1018.58616
5/16/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,231967423,282094916,,,,,1,254349369.6,271137749.2,0.197102226,4334.900691
5/17/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,170983868,145854372,,,,,,199922938.5,182207510,-0.128407599,-1654.369377
5/18/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,164419642,153440019,,,,,,194500641.5,198907721.8,-0.062617006,-861.1294339
5/19/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,259077930,293791406,1,,,,,343954286.4,354970769.3,0.036610043,229.9788922
5/20/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453955303,260040720,,1,,,,329984833.4,317321154.2,-0.03089926,-1201.499421
5/21/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,297799722,250223726,,,1,,,291965256.7,337784584.9,-0.046192674,-1635.700251
5/22/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,344636549,251108485,,,,1,,289261953.8,305889455,0.006095423,375.9687978
5/23/2014,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,249546195,229000787,,,,,1,224410103,293682052.5,-0.014649194,-72.82179692
5/24/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,160073254,154409868,,,,,,169983671.9,204751813.3,-0.103009457,-1024.081926
5/25/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,166943526,231004758,,,,,,164561374.9,221452025.1,0.207216827,2959.069517
5/26/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,344890868,274707572,1,,,,,314015019.8,377515072.6,-0.194248276,-5532.822498
5/27/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,299049555,321965845,,1,,,,300045566.8,339865457.5,-0.055474728,-1385.722919
5/28/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276134813,415891684,,,1,,,291965256.7,337784584.9,0.245642052,7890.237171
5/29/2014,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,320549863,313827800,,,,1,,289261953.8,305889455,0.133061946,2668.185989
5/30/2014,5,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,226547701,312802179,,,,,1,202082499.9,261675975,0.260492746,5227.588233
5/31/2014,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,146823669,142862063,,,,,,106225863.3,177178894.6,-0.213463078,-4296.194743
6/1/2014,7,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,183489775,149829253,,,,,,233543756.9,172518933.1,-0.140538083,-3025.021288
6/2/2014,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,158219402,170409506,1,,,,,177577812.5,173688033.5,-0.571785549,-13295.01612
6/3/2014,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,270887462,385622582,,1,,,,312828805.5,317818856.5,0.285408963,7379.416169
6/4/2014,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274460744,303978838,,,1,,,356697528.4,303484918.5,0.078854066,690.4439419
6/5/2014,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380042567,355645445,,,,1,,353994225.5,271589788.6,0.323366429,7920.940497
6/6/2014,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,301413900,274862067,,,,,1,289142374.6,259382386.1,0.054101798,554.4337103
6/7/2014,6,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,187801995,146203577,,,,,,234715943.6,170452146.9,-0.204011986,-3168.813535
6/8/2014,7,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,302171269,169525332,,,,,,229293646.6,187152358.7,-0.04441781,-1141.819727
6/9/2014,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,366114374,287520152,1,,,,,378747291.5,343215406.2,-0.002208458,-809.9989136
6/10/2014,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354031597,298190025,,1,,,,364777838.5,305565791.1,0.010485142,-294.7449077
6/11/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327661453,246127540,,,1,,,321904523.3,315240281.6,-0.21429572,-5362.244209
6/12/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332365185,236467885,,,,1,,319201220.4,283345151.7,-0.092792291,-2590.986852
6/13/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,216923770,386799040,,,,,1,254349369.6,271137749.2,0.38395303,9364.355658
6/14/2014,6,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,181574530,229916191,,,,,,199922938.5,182207510,0.125313615,-366.2976323
6/15/2014,7,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,166080126,116623756,,,,,,194500641.5,198907721.8,-0.650184628,-13298.30661
6/16/2014,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,387308484,492349489,1,,,,,343954286.4,354970769.3,0.221501192,7376.815167
6/17/2014,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270350693,502560223,,1,,,,329984833.4,317321154.2,0.308678524,10444.92022
6/18/2014,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335262709,421920230,,,1,,,321904523.3,315240281.6,0.164533079,3938.853052
6/19/2014,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338609087,284956260,,,,1,,319201220.4,283345151.7,-0.281258258,-8058.486738
6/20/2014,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,251582530,286583065,,,,,1,254349369.6,271137749.2,-0.172675278,-5080.655608
6/21/2014,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,177999186,231003775,,,,,,169983671.9,204751813.3,-0.031002305,-2400.130769
6/22/2014,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,147180819,361285652,,,,,,164561374.9,221452025.1,0.359084507,6544.046974
6/23/2014,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,232227670,373779624,1,,,,,314015019.8,377515072.6,-0.2036577,-5639.327492
6/24/2014,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245450766,428471509,,1,,,,300045566.8,339865457.5,-0.090574217,-1362.623821
6/25/2014,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264663201,547295931,,,1,,,291965256.7,337784584.9,0.15762496,8843.931644
